,n,CV_mode,Model,R2_val,R2_test,Parameters,object
72,22,loo,XGBRegressor,0.7332729793561283,0.841345737564746,"{'learning_rate': 0.11937573097273699, 'max_depth': 13, 'max_leaves': 9, 'min_child_weight': 8, 'reg_alpha': 0.0003331719065008258, 'reg_lambda': 4.911506804277423e-07, 'subsample': 0.8371762234478655, 'colsample_bytree': 0.5913726728564674}",
73,23,loo,XGBRegressor,-0.020432658996073938,-3.348088365884294e-06,"{'learning_rate': 0.1361422250549295, 'max_depth': 32, 'max_leaves': 1, 'min_child_weight': 6, 'reg_alpha': 0.0009140378241175089, 'reg_lambda': 1.0723778318455266e-08, 'subsample': 0.5397375413753668, 'colsample_bytree': 0.845558331223924}",
74,24,loo,XGBRegressor,0.6693094956534348,0.7732247193731189,"{'learning_rate': 0.03401277639322387, 'max_depth': 38, 'max_leaves': 39, 'min_child_weight': 10, 'reg_alpha': 0.0007010256740686221, 'reg_lambda': 0.1527459728754984, 'subsample': 0.6530794933645598, 'colsample_bytree': 0.8334467463800774}",
75,25,loo,XGBRegressor,0.7982534659139982,0.7788157990617447,"{'learning_rate': 0.36161354532689743, 'max_depth': 36, 'max_leaves': 9, 'min_child_weight': 7, 'reg_alpha': 4.189498917407921e-08, 'reg_lambda': 2.767189374764373e-07, 'subsample': 0.5778744226946226, 'colsample_bytree': 0.9856293019004034}",
76,26,loo,XGBRegressor,0.774165265708694,0.8138144379301557,"{'learning_rate': 0.2303566820928662, 'max_depth': 40, 'max_leaves': 17, 'min_child_weight': 7, 'reg_alpha': 2.2137974946166924e-06, 'reg_lambda': 9.040573291413794e-07, 'subsample': 0.5849321646916611, 'colsample_bytree': 0.9865409132687488}",
77,27,loo,XGBRegressor,0.734432257262488,0.8411404376794958,"{'learning_rate': 0.05939373635534549, 'max_depth': 39, 'max_leaves': 29, 'min_child_weight': 7, 'reg_alpha': 4.0871653528578424e-05, 'reg_lambda': 1.5458082441280508e-06, 'subsample': 0.5911845254415957, 'colsample_bytree': 0.967299871480718}",
78,28,loo,XGBRegressor,0.7522682808464327,0.749440551887459,"{'learning_rate': 0.4741203240116921, 'max_depth': 40, 'max_leaves': 13, 'min_child_weight': 7, 'reg_alpha': 1.523312526983889e-08, 'reg_lambda': 1.1767993203305944e-08, 'subsample': 0.7279018585924141, 'colsample_bytree': 0.8471723927098981}",
79,29,loo,XGBRegressor,0.6883679110792693,0.7964699631557433,"{'learning_rate': 0.38597557031819224, 'max_depth': 29, 'max_leaves': 13, 'min_child_weight': 4, 'reg_alpha': 5.5213099315263705e-08, 'reg_lambda': 3.931306314165706e-08, 'subsample': 0.7833014964528869, 'colsample_bytree': 0.9735287834262927}",
80,30,loo,XGBRegressor,0.745863720437063,0.844523334741692,"{'learning_rate': 0.08759358037048261, 'max_depth': 36, 'max_leaves': 11, 'min_child_weight': 9, 'reg_alpha': 1.8940166013399558e-07, 'reg_lambda': 4.5579894417883805e-08, 'subsample': 0.6588224199359478, 'colsample_bytree': 0.77601285983972}",
81,31,loo,XGBRegressor,0.697688320831714,0.7613244251330611,"{'learning_rate': 0.40704460311085994, 'max_depth': 40, 'max_leaves': 12, 'min_child_weight': 5, 'reg_alpha': 2.5791996139702068e-06, 'reg_lambda': 9.496002588484646e-05, 'subsample': 0.599812582034286, 'colsample_bytree': 0.9575226217904111}",
82,32,loo,XGBRegressor,0.6339968394949766,0.785669228162122,"{'learning_rate': 0.48046653647775933, 'max_depth': 39, 'max_leaves': 11, 'min_child_weight': 6, 'reg_alpha': 6.256726985425354e-08, 'reg_lambda': 4.307748021343523e-07, 'subsample': 0.8107889385767618, 'colsample_bytree': 0.7369987837548867}",
83,33,loo,XGBRegressor,0.7614992351161094,0.8023512749739764,"{'learning_rate': 0.17693424230206742, 'max_depth': 34, 'max_leaves': 2, 'min_child_weight': 6, 'reg_alpha': 8.978755093083672e-08, 'reg_lambda': 2.5332293485187093e-07, 'subsample': 0.5257240402346366, 'colsample_bytree': 0.8272156527447228}",
84,34,loo,XGBRegressor,0.7558735421404226,0.7996589914523646,"{'learning_rate': 0.3576410299912693, 'max_depth': 40, 'max_leaves': 13, 'min_child_weight': 8, 'reg_alpha': 1.412352358153572e-08, 'reg_lambda': 3.5710939171944363e-06, 'subsample': 0.6109064798079731, 'colsample_bytree': 0.9095059604537983}",
85,35,loo,XGBRegressor,0.7526436801838097,0.818935286458122,"{'learning_rate': 0.1527920323887425, 'max_depth': 37, 'max_leaves': 13, 'min_child_weight': 9, 'reg_alpha': 1.1253533005390903e-08, 'reg_lambda': 2.3722569721411904e-05, 'subsample': 0.5969842941392677, 'colsample_bytree': 0.9654902212236683}",
86,36,loo,XGBRegressor,0.7736722541610451,0.8202719605567315,"{'learning_rate': 0.15044952443021592, 'max_depth': 23, 'max_leaves': 6, 'min_child_weight': 4, 'reg_alpha': 3.435148672196897e-08, 'reg_lambda': 1.0805391647050709e-08, 'subsample': 0.5962159480268451, 'colsample_bytree': 0.6338376282473394}",
87,37,loo,XGBRegressor,0.7632757593017664,0.8406733719666327,"{'learning_rate': 0.11640823013256923, 'max_depth': 19, 'max_leaves': 8, 'min_child_weight': 2, 'reg_alpha': 1.2001905405009291e-07, 'reg_lambda': 1.0756182451182805e-06, 'subsample': 0.6373286596842783, 'colsample_bytree': 0.6754550314217114}",
88,38,loo,XGBRegressor,0.6883485794160603,0.7803343279329586,"{'learning_rate': 0.04301612370443986, 'max_depth': 8, 'max_leaves': 4, 'min_child_weight': 2, 'reg_alpha': 8.743160704631348e-07, 'reg_lambda': 3.072241386808245e-07, 'subsample': 0.5963518579802976, 'colsample_bytree': 0.6048368617266626}",
89,39,loo,XGBRegressor,0.7568125731257824,0.8413754570700857,"{'learning_rate': 0.09916048422335311, 'max_depth': 24, 'max_leaves': 11, 'min_child_weight': 2, 'reg_alpha': 7.718431660178265e-08, 'reg_lambda': 4.214255412093991e-07, 'subsample': 0.7244546029040384, 'colsample_bytree': 0.6555821527351235}",
90,40,loo,XGBRegressor,0.7569832437232972,0.8321833331181671,"{'learning_rate': 0.176978807008753, 'max_depth': 25, 'max_leaves': 10, 'min_child_weight': 3, 'reg_alpha': 2.404058681650623e-07, 'reg_lambda': 2.6811365556705213e-08, 'subsample': 0.5600850242090057, 'colsample_bytree': 0.5094143774341438}",
91,41,loo,XGBRegressor,0.7311516429916396,0.8336715151761815,"{'learning_rate': 0.05452800422400541, 'max_depth': 16, 'max_leaves': 6, 'min_child_weight': 8, 'reg_alpha': 1.5906565659719266e-07, 'reg_lambda': 1.2563948451516662e-07, 'subsample': 0.6645221378557845, 'colsample_bytree': 0.6707656205336427}",
92,42,loo,XGBRegressor,0.7665971795219111,0.8458578813442685,"{'learning_rate': 0.1047221016210266, 'max_depth': 29, 'max_leaves': 8, 'min_child_weight': 4, 'reg_alpha': 2.413284019158944e-08, 'reg_lambda': 0.001936647259203404, 'subsample': 0.5537667382305151, 'colsample_bytree': 0.6490517965714393}",
